District,YEAR,avg_temp,avg_max_temp,temp_range_stddev,avg_humidity,avg_wind,annual_precip,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,temp_range_stddev_lag1,highheat_days_lag1,predicted_highheat_days
Arghakhanchi,2020,22.25591832287034,27.822713497985717,3.6461092699420066,59.880987450718095,2.3412601331283676,1621.0781654829152,1.264734048345996,22.33967123287671,1621.05,1.240244206133073,3.639443568484479,20.0,14.350102366529226
Arghakhanchi,2021,22.208071866076356,27.708823995519047,3.50583347953187,59.99188191945734,2.185005330978806,1621.1027077954304,1.2039001613135554,22.25591832287034,1621.0781654829152,1.264734048345996,3.6461092699420066,7.811120543293718,6.0378246342845285
Arghakhanchi,2022,22.248323488531124,27.8099687248259,3.4920081046624913,59.97617568485548,2.2617274163952845,1621.0785954740861,1.3729609230018185,22.208071866076356,1621.1027077954304,1.2039001613135554,3.50583347953187,7.811120543293718,6.003620113158097
Arghakhanchi,2023,22.19240622516561,27.833449330484378,3.4852811263799586,60.16980496904822,2.1491172132981373,1621.1963376025958,1.178109220465164,22.248323488531124,1621.0785954740861,1.3729609230018185,3.4920081046624913,7.811120543293718,5.957953947770996
Arghakhanchi,2024,22.12796640644077,27.698697085238148,3.4135665740470684,60.06202308004232,1.9922976654966145,1621.3368172375947,1.0425950552340584,22.19240622516561,1621.1963376025958,1.178109220465164,3.4852811263799586,7.811120543293718,5.607487582982259
Arghakhanchi,2025,22.185680644053217,27.67801019759209,3.5095265042754695,60.14705805677306,1.892861233843556,1621.2133776339413,0.9724915503568681,22.12796640644077,1621.3368172375947,1.0425950552340584,3.4135665740470684,7.811120543293718,8.60243723664963
Arghakhanchi,2026,22.101534529102118,27.83634480445789,3.4129443297937403,60.316277150181335,1.9499369480135915,1621.313042988294,1.126322682915413,22.185680644053217,1621.2133776339413,0.9724915503568681,3.5095265042754695,7.811120543293718,4.885702189713651
Arghakhanchi,2027,22.111198832890384,27.95170036895359,3.4922043893813743,60.27070778944107,1.7793865393559507,1621.3962235128865,1.2383800197430717,22.101534529102118,1621.313042988294,1.126322682915413,3.4129443297937403,7.811120543293718,8.9551102525771
Arghakhanchi,2028,22.267933519934314,28.023159768916937,3.4285360887151977,60.169630193434514,1.7631567395684133,1621.310589364523,1.1076413083850933,22.111198832890384,1621.3962235128865,1.2383800197430717,3.4922043893813743,7.811120543293718,5.728749021859261
Arghakhanchi,2029,22.273540274463155,27.88951644259391,3.381768205226618,60.26167483603359,1.848829932598455,1620.9763159497109,0.9056906438499326,22.267933519934314,1621.310589364523,1.1076413083850933,3.4285360887151977,7.811120543293718,7.542271466912979
